Crop ID,Crop Name,% season B ,% season C,% season D,KcB,KcC,KcD,KcE
1,Almonds,0,50,90,0.55,1.2,1.2,0.65
2,Avocado,0,50,90,1,1,1,1
3,Corn (grain),20,45,75,0.2,1.05,1.05,0.6
4,Orange,0,33,67,1,1,1,1
5,Peach,0,50,90,0.55,1.2,1.2,0.65
6,Plum-Prune,0,50,90,0.55,1.15,1.15,0.65
7,Potato,20,45,78,0.8,1.15,1.15,0.7
8,Rice,24,37,86,1.2,1.05,1.05,0.8
9,Strawberries,15,45,80,0.2,0.7,0.7,0.7
10,Sunflower,20,45,80,0.2,1.1,1.1,0.4
11,Table Grapes,0,25,75,0.35,1.1,1.1,0.8
12,Tomato,25,50,80,0.3,1.15,1.15,0.65
13,Walnuts,0,50,75,0.55,1.2,1.2,0.8
14,Wheat,20,45,75,0.33,1.05,1.05,0.15
15,Wine Grapes,0,25,75,0.45,0.8,0.8,0.35
